time,novel_id,novel_name,allpopu_wan,read_total
2025-12-20 02:32:47,1952181,望川十年,3775.88,62543
2025-12-20 02:32:48,1758077,谋杀安徒生,12.13,0
2025-12-20 02:49:53,1952181,望川十年,3777.73,62543
2025-12-20 02:49:54,1758077,谋杀安徒生,12.13,0
2025-12-20 03:10:29,1952181,望川十年,3779.92,62543
2025-12-20 03:10:30,1758077,谋杀安徒生,12.13,0
2025-12-20 03:34:07,1952181,望川十年,3782.28,62543
2025-12-20 03:34:08,1758077,谋杀安徒生,12.13,0
2025-12-20 04:13:37,1952181,望川十年,3785.19,62543
2025-12-20 04:13:38,1758077,谋杀安徒生,12.13,0
2025-12-20 04:41:20,1952181,望川十年,3786.96,62543
2025-12-20 04:41:21,1758077,谋杀安徒生,12.13,0
2025-12-20 05:11:45,1952181,望川十年,3788.16,62543
2025-12-20 05:11:46,1758077,谋杀安徒生,12.13,0
2025-12-20 05:37:10,1952181,望川十年,3789.28,62543
2025-12-20 05:37:11,1758077,谋杀安徒生,12.13,0
2025-12-20 06:12:36,1952181,望川十年,3790.27,62543
2025-12-20 06:12:37,1758077,谋杀安徒生,12.13,0
2025-12-20 06:41:14,1952181,望川十年,3791.2,62543
2025-12-20 06:41:15,1758077,谋杀安徒生,12.13,0
2025-12-20 07:12:20,1952181,望川十年,3792.51,62543
2025-12-20 07:12:21,1758077,谋杀安徒生,12.13,0
2025-12-20 07:37:21,1952181,望川十年,3793.18,62543
2025-12-20 07:37:22,1758077,谋杀安徒生,12.13,0
2025-12-20 08:58:24,1952181,望川十年,3799.92,62543
2025-12-20 08:58:25,1758077,谋杀安徒生,12.13,0
2025-12-20 10:15:10,1952181,望川十年,3807.6,62543
2025-12-20 10:15:11,1758077,谋杀安徒生,12.13,0
2025-12-20 11:00:10,1952181,望川十年,3813.03,62543
2025-12-20 11:00:11,1758077,谋杀安徒生,12.13,0
2025-12-20 11:33:58,1952181,望川十年,3816.37,62543
2025-12-20 11:33:59,1758077,谋杀安徒生,12.13,0
2025-12-20 12:01:34,1952181,望川十年,3819.18,62543
2025-12-20 12:01:35,1758077,谋杀安徒生,12.13,0
2025-12-20 12:39:12,1952181,望川十年,3824.37,62543
2025-12-20 12:39:13,1758077,谋杀安徒生,12.13,0
2025-12-20 12:55:38,1952181,望川十年,3826.23,62543
2025-12-20 12:55:39,1758077,谋杀安徒生,12.13,0
2025-12-20 13:21:06,1952181,望川十年,3829.1,62543
2025-12-20 13:21:07,1758077,谋杀安徒生,12.13,0
2025-12-20 13:41:10,1952181,望川十年,3830.77,62543
2025-12-20 13:41:10,1758077,谋杀安徒生,12.13,0
2025-12-20 13:54:27,1952181,望川十年,3832.49,62543
2025-12-20 13:54:28,1758077,谋杀安徒生,12.13,0

2025-12-20 14:30:39,1952181,望川十年,3836.23,62543
2025-12-20 14:30:40,1758077,谋杀安徒生,12.13,0
2025-12-20 14:53:59,1952181,望川十年,3838.2,62543
2025-12-20 14:54:00,1758077,谋杀安徒生,12.13,0
2025-12-20 15:18:11,1952181,望川十年,3841.04,62543
2025-12-20 15:18:12,1758077,谋杀安徒生,12.13,0
2025-12-20 15:33:04,1952181,望川十年,3843.18,62543
2025-12-20 15:33:05,1758077,谋杀安徒生,12.13,0
2025-12-20 15:43:05,1952181,望川十年,3844.21,62543
2025-12-20 15:43:06,1758077,谋杀安徒生,12.13,0
2025-12-20 15:53:26,1952181,望川十年,3845.44,62543
2025-12-20 15:53:27,1758077,谋杀安徒生,12.13,0
2025-12-20 16:25:45,1952181,望川十年,3848.48,62543
2025-12-20 16:25:46,1758077,谋杀安徒生,12.13,0
2025-12-20 16:50:15,1952181,望川十年,3850.47,62543
2025-12-20 16:50:16,1758077,谋杀安徒生,12.13,0
2025-12-20 17:19:35,1952181,望川十年,3852.56,62543
2025-12-20 17:19:35,1758077,谋杀安徒生,12.13,0
2025-12-20 17:36:06,1952181,望川十年,3853.96,62543
2025-12-20 17:36:07,1758077,谋杀安徒生,12.14,0
2025-12-20 17:46:41,1952181,望川十年,3854.71,62543
2025-12-20 17:46:42,1758077,谋杀安徒生,12.16,0
2025-12-20 17:56:49,1952181,望川十年,3855.58,62543
2025-12-20 17:56:50,1758077,谋杀安徒生,12.16,0
2025-12-20 18:24:03,1952181,望川十年,3857.32,62543
2025-12-20 18:24:04,1758077,谋杀安徒生,12.17,0
2025-12-20 18:42:11,1952181,望川十年,3858.71,62543
2025-12-20 18:42:12,1758077,谋杀安徒生,12.19,0
2025-12-20 18:53:39,1952181,望川十年,3859.78,62543
2025-12-20 18:53:40,1758077,谋杀安徒生,12.19,0
2025-12-20 19:15:47,1952181,望川十年,3861.19,62543
2025-12-20 19:15:48,1758077,谋杀安徒生,12.19,0
2025-12-20 19:30:33,1952181,望川十年,3862.24,62543
