time,novel_id,novel_name,allpopu_wan,read_total
2025-12-20 08:58:27,1864069,青苔,1074.7,21476
2025-12-20 08:58:28,1827718,无烟区,3.65,0
2025-12-20 10:15:12,1864069,青苔,1081.31,21476
2025-12-20 10:15:13,1827718,无烟区,3.67,0
2025-12-20 11:00:13,1864069,青苔,1084.98,21476
2025-12-20 11:00:14,1827718,无烟区,3.67,0
2025-12-20 11:34:01,1864069,青苔,1087.72,21476
2025-12-20 11:34:02,1827718,无烟区,3.67,0
2025-12-20 12:01:37,1864069,青苔,1089.82,21476
2025-12-20 12:01:38,1827718,无烟区,3.67,0
2025-12-20 12:39:15,1864069,青苔,1093.31,21476
2025-12-20 12:39:16,1827718,无烟区,3.71,0
